"Marca temporal","¿Cuál de los siguientes sectores de la sociedad consideras que es más afectado actualmente por el calentamiento global?","Si tuvieras la oportunidad de migrar a otro país exclusivamente en búsqueda de un clima más de tu gusto, ¿cuál elegirías?","En retrospectiva a tu infancia, ¿cómo percibes que ha cambiado la temperatura promedio en la ciudad donde creciste?","En una escala del 1 al 10, ¿Qué grado de responsabilidad sientes frente al fenómeno del calentamiento global?","Elige 4 transportes que usas frecuentemente","¿Qué acciones concretas realizas para contribuir a la prevención del cambio climático?"
"2026/05/10 1:31:16 a. m. GMT-4","Ecosistemas Marinos","Nueva Zelanda","Ligeramente más cálida","5","Bus Eléctrico (E01, E02, E03);Micro;A Pie","Tomar duchas cortas, no prender luces de día, tener luces apagadas si no hay nadie en una habitación, no botar basura a la calle."
"2026/05/10 5:34:10 p. m. GMT-4","Agricultura","Noruega","Significativamente más cálida","3","Bus Eléctrico (E01, E02, E03);Metro;Micro","Ninguna"
"2026/05/10 5:36:50 p. m. GMT-4","Agricultura","suiza","Ligeramente más cálida","3","Metro;Auto Personal","Ninguna"
"2026/05/10 5:37:18 p. m. GMT-4","Ecosistemas Marinos","Suecia","Significativamente más cálida","3","Metro;Auto Personal;Micro;A Pie","Me preocupo de no botar basura donde no corresponde ni de dañar ecosistemas"
"2026/05/10 5:38:58 p. m. GMT-4","Ecosistemas Marinos","Me quedaría en el centro de Chile, posee un clima templado que es de mi gusto.","Ligeramente más cálida","5","A Pie","Disminuir el uso de autos cuando no es estrictamente necesario."
"2026/05/10 5:46:02 p. m. GMT-4","Ecosistemas Marinos","Canada","Significativamente más cálida","1","Auto Personal;Colectivo;A Pie","Reciclaje y  no aportar a botar basura a la calle"
"2026/05/10 5:48:03 p. m. GMT-4","Agricultura","Alemania","Significativamente más cálida","2","Auto Personal;A Pie","Ninguna "
"2026/05/10 6:06:09 p. m. GMT-4","Ecosistemas Marinos","Suecia","Significativamente más cálida","7","Metro;A Pie","Ninguna"
"2026/05/10 6:11:01 p. m. GMT-4","Agricultura","Un lugar en donde siempre haga calor","Significativamente más cálida","3","Auto Personal;Micro;Colectivo","Reciclar"
"2026/05/10 8:49:56 p. m. GMT-4","Agricultura","Suecia","Significativamente más cálida","4","Bus Eléctrico (E01, E02, E03);Metro;Micro","Ninguna"
"2026/05/11 3:57:48 p. m. GMT-4","Economía y Urbanismo","Holanda","Ligeramente más cálida","3","Moto;Auto Personal;A Pie","Ninguna"
"2026/05/11 8:01:23 p. m. GMT-4","Agricultura","Canada","Significativamente más cálida","2","Micro","Como poca carne, intento evitar realizar acciones que puedan realizar mucho consumo energético(En vez de secar con el sol, usar la secadora). "
