¿Cuál de los siguientes sectores de la sociedad consideras que es más afectado actualmente por el calentamiento global?;Si tuvieras la oportunidad de migrar a otro país exclusivamente en búsqueda de un clima más de tu gusto, ¿cuál elegirías?;En retrospectiva a tu infancia, ¿cómo percibes que ha cambiado la temperatura promedio en la ciudad donde creciste?;En una escala del 1 al 10, ¿Qué grado de responsabilidad sientes frente al fenómeno del calentamiento global?;Elige 4 transportes que usas frecuentemente;¿Qué acciones concretas realizas para contribuir a la prevención del cambio climático?
Ecosistemas Marinos;Nueva Zelanda;Ligeramente más cálida;5;"Bus Eléctrico (E01, E02, E03);Micro;A Pie";Tomar duchas cortas, no prender luces de día, tener luces apagadas si no hay nadie en una habitación, no botar basura a la calle.
Agricultura;Noruega;Significativamente más cálida;3;"Bus Eléctrico (E01, E02, E03);Metro;Micro";Ninguna
Agricultura;suiza;Ligeramente más cálida;3;"Metro;Auto Personal";Ninguna
Ecosistemas Marinos;Suecia;Significativamente más cálida;3;"Metro;Auto Personal;Micro;A Pie";Me preocupo de no botar basura donde no corresponde ni de dañar ecosistemas
Ecosistemas Marinos;Me quedaría en el centro de Chile, posee un clima templado que es de mi gusto.;Ligeramente más cálida;5;A Pie;Disminuir el uso de autos cuando no es estrictamente necesario.
Ecosistemas Marinos;Canada;Significativamente más cálida;1;"Auto Personal;Colectivo;A Pie";Reciclaje y  no aportar a botar basura a la calle
Agricultura;Alemania;Significativamente más cálida;2;"Auto Personal;A Pie";Ninguna 
Ecosistemas Marinos;Suecia;Significativamente más cálida;7;"Metro;A Pie";Ninguna
Agricultura;Un lugar en donde siempre haga calor;Significativamente más cálida;3;"Auto Personal;Micro;Colectivo";Reciclar
Agricultura;Suecia;Significativamente más cálida;4;"Bus Eléctrico (E01, E02, E03);Metro;Micro";Ninguna
Economía y Urbanismo;Holanda;Ligeramente más cálida;3;"Moto;Auto Personal;A Pie";Ninguna
Agricultura;Canada;Significativamente más cálida;2;Micro;Como poca carne, intento evitar realizar acciones que puedan realizar mucho consumo energético(En vez de secar con el sol, usar la secadora). 
"Agricultura; Ecosistemas Marinos";australia;Significativamente más cálida;10;Auto Personal;Reciclaje, cuido el agua y el gasto de corriente. No botar basuras en la calle, no usar tanto plástico
Agricultura;Como clima Mexico;Ligeramente más cálida;5;Micro;No usar spray
"Agricultura; Ecosistemas Marinos";Nueva Zelanda;Ligeramente más cálida;5;"Bus Eléctrico (E01, E02, E03);Micro;A Pie";Tomar duchas cortas, mantener luces apagadas cuando es de día y si no hay nadie ocupando una habitación también se apaga la luz, preferir productos en envases biodegradables.
Economía y Urbanismo;Colombia;Se ha mantenido igual;5;Metro;Ninguna
"Agricultura; Ecosistemas Marinos";Ninguno;Significativamente más cálida;9;"Metro;Micro;A Pie";Duchas cortas, usar transporte publico, reciclar los papeles y plasticos, enterrar la basura orgánica, envitar la compra de productos envueltos en mucho plastico.
"Agricultura; Ecosistemas Marinos";Irlanda o escocia;Significativamente más cálida;9;"Auto Personal;A Pie";Trato de no usar aerosoles, no fumar ni generar humo
"Agricultura; Ecosistemas Marinos";Canada;Ligeramente más fría;3;"Auto Personal;Micro";No fumar
"Agricultura; Economía y Urbanismo";Japon;Ligeramente más cálida;3;"Trole;Bus Eléctrico (E01, E02, E03);Micro;A Pie";Ninguna
"Agricultura; Ecosistemas Marinos";Puerto Rico;Significativamente más cálida;3;"Bus Eléctrico (E01, E02, E03);Metro;Micro;A Pie";No tiro basura a la calle. Nada más
