Latitude,Longitude,Disaster Type,Country,Region,Start Year,Total Deaths,Total Affected,Total Damage ('000 US$)
6.78,125.3,Flood,Philippines,Asia,2010,27.0,40000.0,
26.235,92.25,Flood,India,Asia,2010,,30000.0,
-1.12,18.16,Flood,Congo,Africa,2019,,213000.0,
-5.921,-76.979,Flood,Peru,Americas,2019,,900.0,
-33.103,-56.046,Flood,Uruguay,Americas,2020,,360.0,
9.628,18.085,Flood,Chad,Africa,2020,,2062.0,
9.772,-72.228,Flood,Venezuela (Bolivarian Republic of),Americas,2019,6.0,2000.0,
14.826,33.921,Flood,Sudan,Africa,2019,78.0,346300.0,
32.591,130.866,Flood,Japan,Asia,2019,2.0,600.0,
37.42,69.354,Flood,Tajikistan,Asia,2019,4.0,6750.0,
-19.041,30.804,Flood,Zimbabwe,Africa,2019,26.0,300.0,
35.606,52.429,Flood,Iran (Islamic Republic of),Asia,2018,9.0,7135.0,166000.0
39.591,2.936,Flood,Spain,Europe,2018,13.0,200.0,150000.0
35.65,137.895,Flood,Japan,Asia,2018,246.0,1500102.0,9500000.0
-11.158,34.02,Flood,Malawi,Africa,2018,4.0,9113.0,
15.88,-90.217,Flood,Guatemala,Americas,2018,2.0,76845.0,
34.94,68.216,Flood,Afghanistan,Asia,2018,72.0,4000.0,
-11.158,34.02,Flood,United Republic of Tanzania,Africa,2018,15.0,15873.0,
3.133,3.659,Flood,Malaysia,Asia,2018,,4900.0,
22.707,39.365,Flood,Saudi Arabia,Asia,2017,4.0,481.0,
14.594,100.679,Flood,Thailand,Asia,2017,9.0,605000.0,1400.0
38.261,23.529,Flood,Greece,Europe,2017,23.0,6024.0,
7.223,17.145,Flood,Central African Republic,Africa,2017,,3500.0,
45.486,3.338,Flood,France,Europe,2017,1.0,160.0,
27.941,83.878,Flood,Nepal,Asia,2017,176.0,1700134.0,595000.0
33.2,134.0,Storm,Japan,Asia,2017,2.0,1389.0,2000.0
15.581,-85.367,Flood,Honduras,Americas,2017,7.0,400.0,
7.59,124.062,Flood,Philippines,Asia,2017,13.0,334000.0,
1.691,-76.286,Flood,Colombia,Americas,2017,,25661.0,
3.932,102.461,Flood,Malaysia,Asia,2017,,5481.0,
-31.888,-57.432,Flood,Uruguay,Americas,2017,,6639.0,
-38.204,176.79,Flood,New Zealand,Oceania,2017,,2200.0,71000.0
-27.122,-69.952,Flood,Chile,Americas,2017,2.0,3000.0,
-28.362,29.715,Flood,South Africa,Africa,2017,3.0,200.0,
-8.718,13.656,Flood,Angola,Africa,2017,11.0,30250.0,2000.0
37.704,46.169,Flood,Iran (Islamic Republic of),Asia,2017,42.0,,353000.0
-30.939,-70.249,Flood,Chile,Americas,2017,3.0,1200.0,2000.0
-5.251,-77.573,Flood,Peru,Americas,2017,1.0,12000.0,
23.273,-99.793,Flood,Mexico,Americas,2016,2.0,35000.0,
37.418,22.292,Flood,Greece,Europe,2016,4.0,200.0,56000.0
23.672,-104.964,Flood,Mexico,Americas,2016,5.0,3000.0,25000.0
17.071,-93.805,Flood,Mexico,Americas,2016,13.0,6000.0,
-12.351,39.464,Flood,Mozambique,Africa,2016,16.0,6600.0,
27.068,93.95,Flood,India,Asia,2016,61.0,,100000.0
-8.321,13.978,Flood,Angola,Africa,2016,23.0,5600.0,
61.967,59.803,Flood,Russian Federation,Europe,2016,,3200.0,2000.0
24.704,113.991,Flood,China,Asia,2016,5.0,219300.0,170000.0
-0.786,-79.701,Flood,Ecuador,Americas,2016,9.0,10000.0,10000.0
-29.957,-53.572,Flood,Uruguay,Americas,2015,,10000.0,
16.691,121.24,Storm,Philippines,Asia,2015,51.0,2898590.0,210985.0
33.503,-80.493,Storm,United States of America,Americas,2015,25.0,800.0,2000000.0
43.377,6.53,Flood,France,Europe,2015,20.0,,924000.0
14.8417,2.5,Flood,Niger,Africa,2015,27.0,87037.0,
-32.6329,-55.7,Flood,Uruguay,Americas,2015,,2326.0,
-35.1086,-59.81,Flood,Argentina,Americas,2015,3.0,50000.0,
26.2074,82.62,Flood,India,Asia,2015,293.0,13709887.0,
35.0129,72.84,Flood,Pakistan,Asia,2015,10.0,,
