Periodo,Country,Total Damage ('000 US$),Rank
2005-2009,Australia,5157354.0,5.0
2005-2009,Brazil,1980000.0,10.0
2005-2009,China,8406000.0,3.0
2005-2009,India,6125151.0,4.0
2005-2009,Japan,60000.0,42.0
2005-2009,Thailand,48284.0,43.0
2005-2009,Ukraine,23855.0,48.0
2005-2009,United Kingdom of Great Britain and Northern Ireland,8982000.0,2.0
2005-2009,United States of America,35007360.0,1.0
2005-2009,Yemen,400000.0,21.0
2010-2014,Australia,7634000.0,5.0
2010-2014,Brazil,740000.0,20.0
2010-2014,China,16683063.0,2.0
2010-2014,Germany,12900000.0,4.0
2010-2014,India,4682000.0,8.0
2010-2014,Kenya,136000.0,29.0
2010-2014,Thailand,41131000.0,1.0
2010-2014,Ukraine,1900.0,51.0
2010-2014,United Kingdom of Great Britain and Northern Ireland,3211000.0,11.0
2010-2014,United States of America,14526000.0,3.0
2015-2019,Australia,36400.0,29.0
2015-2019,Brazil,253000.0,20.0
2015-2019,China,26331000.0,1.0
2015-2019,Germany,2000000.0,7.0
2015-2019,India,3719000.0,4.0
2015-2019,Japan,9602000.0,3.0
2015-2019,Peru,3100000.0,5.0
2015-2019,Thailand,1146400.0,11.0
2015-2019,United States of America,16600000.0,2.0
2020-2024,Brazil,300000.0,2.0
2020-2024,Egypt,76000.0,4.0
2020-2024,Japan,5800000.0,1.0
2020-2024,Kenya,10000.0,5.0
2020-2024,Ukraine,153861.0,3.0
2020-2024,Yemen,10000.0,5.0
